time,open,high,low,close,tick_volume
2026.04.24 08:00,4674.39,4697.25,4666.68,4690.68,46509
2026.04.24 12:00,4690.74,4717.29,4674.41,4700.54,57350
2026.04.24 16:00,4700.88,4740.21,4689.62,4726.6,86876
2026.04.24 20:00,4726.6,4729.84,4704.79,4708.08,46507
2026.04.27 00:00,4697.46,4703.28,4671.94,4697.66,35219
2026.04.27 04:00,4697.72,4729.8,4690.7,4724.79,51460
2026.04.27 08:00,4724.85,4725.3,4705.24,4706.65,47405
2026.04.27 12:00,4706.67,4712.49,4696.67,4699.02,39498
2026.04.27 16:00,4699.0,4703.28,4667.05,4676.48,78286
2026.04.27 20:00,4676.54,4686.01,4668.11,4681.67,41225
2026.04.28 00:00,4683.58,4701.08,4682.23,4690.44,25074
2026.04.28 04:00,4690.36,4691.3,4666.13,4667.49,42179
2026.04.28 08:00,4667.53,4667.84,4614.72,4629.49,64307
2026.04.28 12:00,4629.46,4629.84,4554.75,4593.63,71438
2026.04.28 16:00,4593.59,4594.74,4557.18,4592.1,99630
2026.04.28 20:00,4592.06,4601.3,4587.13,4596.93,52698
2026.04.29 00:00,4597.78,4610.26,4587.83,4600.09,22889
2026.04.29 04:00,4600.1,4605.51,4575.55,4604.64,48155
2026.04.29 08:00,4604.61,4607.55,4557.1,4573.01,55133
2026.04.29 12:00,4573.05,4580.71,4542.05,4544.78,53963
2026.04.29 16:00,4544.94,4564.71,4510.0,4545.38,89796
2026.04.29 20:00,4545.42,4554.37,4518.06,4543.4,86641
2026.04.30 00:00,4545.38,4574.07,4539.22,4569.76,36273
2026.04.30 04:00,4569.72,4582.38,4540.86,4541.87,54733
2026.04.30 08:00,4541.85,4629.48,4541.71,4616.13,64548
2026.04.30 12:00,4616.25,4646.91,4614.26,4639.41,71667
2026.04.30 16:00,4639.43,4645.77,4605.24,4607.33,90558
2026.04.30 20:00,4607.5,4627.23,4607.46,4621.61,56299
2026.05.01 00:00,4625.5,4636.03,4618.28,4619.48,34174
2026.05.01 04:00,4619.53,4635.85,4608.98,4609.01,41654
2026.05.01 08:00,4608.99,4616.01,4564.98,4568.69,47839
2026.05.01 12:00,4568.89,4607.38,4560.02,4590.97,49781
2026.05.01 16:00,4590.95,4660.14,4586.41,4638.69,78640
2026.05.01 20:00,4638.72,4642.54,4606.84,4613.55,54207
2026.05.04 00:00,4631.5,4636.36,4601.44,4612.82,38560
2026.05.04 04:00,4612.76,4618.39,4591.0,4605.97,43355
2026.05.04 08:00,4605.99,4613.0,4573.66,4576.86,56179
2026.05.04 12:00,4576.77,4584.33,4525.86,4568.2,69472
2026.05.04 16:00,4568.18,4583.05,4500.55,4510.54,93774
2026.05.04 20:00,4510.51,4531.47,4509.67,4523.63,44163
2026.05.05 00:00,4523.62,4530.13,4513.43,4529.77,16951
2026.05.05 04:00,4529.54,4546.7,4525.37,4533.38,31040
2026.05.05 08:00,4533.3,4559.5,4531.13,4558.33,43121
2026.05.05 12:00,4558.57,4574.42,4539.83,4564.46,44695
2026.05.05 16:00,4564.19,4586.47,4553.66,4561.07,63696
2026.05.05 20:00,4561.08,4565.71,4551.47,4557.35,31689
2026.05.06 00:00,4560.08,4619.95,4546.13,4618.6,43672
2026.05.06 04:00,4618.59,4653.45,4609.26,4648.64,46002
2026.05.06 08:00,4648.75,4702.61,4644.47,4700.0,46832
2026.05.06 12:00,4700.34,4722.85,4660.17,4683.14,71676
2026.05.06 16:00,4683.11,4717.33,4668.49,4682.99,75680
2026.05.06 20:00,4682.98,4699.93,4678.7,4690.83,38028
2026.05.07 00:00,4692.97,4701.07,4685.37,4688.37,20490
2026.05.07 04:00,4688.38,4721.35,4684.98,4696.23,41933
2026.05.07 08:00,4696.19,4753.25,4694.55,4730.87,56102
2026.05.07 12:00,4730.91,4752.44,4721.55,4749.89,50682
2026.05.07 16:00,4749.92,4764.62,4704.46,4714.9,89930
2026.05.07 20:00,4714.94,4719.46,4686.17,4687.01,70821
2026.05.08 00:00,4680.23,4709.35,4676.87,4701.13,33824
2026.05.08 04:00,4701.03,4732.63,4700.32,4710.87,46478
2026.05.08 08:00,4710.85,4734.55,4697.01,4715.47,51032
2026.05.08 12:00,4715.48,4731.87,4702.76,4724.25,47953
2026.05.08 16:00,4723.92,4749.37,4701.73,4712.23,77832
2026.05.08 20:00,4712.26,4728.83,4712.0,4714.91,38786
2026.05.11 00:00,4681.25,4700.59,4670.12,4683.33,39316
2026.05.11 04:00,4683.42,4705.43,4668.33,4671.93,65287
2026.05.11 08:00,4671.92,4680.52,4647.99,4667.41,53219
2026.05.11 12:00,4667.42,4700.8,4650.35,4699.78,49136
2026.05.11 16:00,4700.1,4748.42,4698.56,4716.33,78350
2026.05.11 20:00,4716.32,4738.41,4715.79,4734.61,38907
2026.05.12 00:00,4737.49,4773.33,4737.08,4749.1,35374
2026.05.12 04:00,4749.14,4755.31,4711.02,4713.98,56793
2026.05.12 08:00,4713.88,4722.04,4687.25,4703.31,59345
2026.05.12 12:00,4703.29,4711.49,4685.03,4705.59,54378
2026.05.12 16:00,4705.51,4708.82,4638.14,4671.01,87195
2026.05.12 20:00,4671.26,4719.15,4671.15,4715.05,51144
2026.05.13 00:00,4715.49,4726.79,4711.66,4714.32,30598
2026.05.13 04:00,4714.63,4716.92,4687.43,4699.43,54221
2026.05.13 08:00,4699.44,4715.24,4693.43,4700.48,49413
2026.05.13 12:00,4700.51,4710.16,4675.95,4683.61,51480
2026.05.13 16:00,4683.42,4709.73,4669.25,4695.46,74288
2026.05.13 20:00,4695.51,4701.15,4677.4,4688.65,41010
2026.05.14 00:00,4692.19,4706.59,4688.76,4704.8,27237
2026.05.14 04:00,4704.82,4712.54,4668.48,4702.24,71767
2026.05.14 08:00,4702.27,4718.61,4686.08,4693.14,58803
2026.05.14 12:00,4693.22,4709.88,4688.32,4704.68,51348
2026.05.14 16:00,4704.64,4707.52,4666.49,4678.34,77829
2026.05.14 20:00,4678.33,4682.93,4644.25,4652.2,44877
2026.05.15 00:00,4652.57,4665.11,4613.39,4629.96,39525
2026.05.15 04:00,4630.13,4631.35,4604.18,4605.68,74630
2026.05.15 08:00,4605.99,4606.26,4549.99,4554.18,82006
2026.05.15 12:00,4554.1,4572.33,4531.8,4545.82,69397
2026.05.15 16:00,4545.77,4566.38,4511.57,4544.2,93312
2026.05.15 20:00,4544.23,4564.33,4533.0,4539.56,53970
2026.05.18 00:00,4529.44,4554.36,4480.17,4515.82,47119
2026.05.18 04:00,4514.66,4549.73,4489.33,4540.56,75662
2026.05.18 08:00,4540.55,4559.77,4529.59,4549.82,66510
2026.05.18 12:00,4549.68,4574.64,4529.81,4571.15,62696
2026.05.18 16:00,4571.17,4584.05,4531.57,4550.05,90106
2026.05.18 20:00,4549.76,4566.5,4534.09,4565.97,55908
2026.05.19 00:00,4568.23,4589.03,4561.12,4563.03,32342
2026.05.19 04:00,4562.76,4572.24,4537.83,4542.32,57853
2026.05.19 08:00,4542.35,4559.17,4530.77,4542.62,59562
2026.05.19 12:00,4542.55,4547.8,4525.36,4536.97,53613
2026.05.19 16:00,4537.03,4537.23,4464.39,4507.5,89895
2026.05.19 20:00,4507.42,4510.88,4480.76,4481.88,47029
2026.05.20 00:00,4481.99,4508.68,4477.16,4500.78,34345
2026.05.20 04:00,4500.85,4506.13,4453.46,4461.91,64615
2026.05.20 08:00,4461.83,4489.95,4461.34,4483.95,61208
2026.05.20 12:00,4483.94,4505.18,4472.6,4496.04,47925
2026.05.20 16:00,4496.03,4552.64,4466.91,4534.13,98131
2026.05.20 20:00,4534.29,4550.19,4529.33,4543.49,52233
2026.05.21 00:00,4544.77,4553.08,4534.44,4545.11,31255
2026.05.21 04:00,4545.09,4570.65,4527.1,4538.27,51967
2026.05.21 08:00,4538.28,4540.12,4511.84,4532.32,67726
2026.05.21 12:00,4532.28,4542.61,4502.34,4503.89,70584
2026.05.21 16:00,4503.94,4520.92,4488.42,4519.28,95456
2026.05.21 20:00,4519.43,4559.17,4513.98,4543.0,73568
2026.05.22 00:00,4544.77,4545.85,4525.46,4526.57,21778
2026.05.22 04:00,4526.53,4536.1,4518.31,4527.1,46441
2026.05.22 08:00,4527.06,4534.08,4507.15,4521.73,60135
2026.05.22 12:00,4521.68,4536.68,4510.04,4528.0,59709
2026.05.22 16:00,4528.32,4534.21,4491.73,4514.77,83968
2026.05.22 20:00,4514.88,4527.68,4503.75,4507.29,47598
2026.05.25 00:00,4534.6,4579.76,4533.39,4569.22,43706
2026.05.25 04:00,4569.21,4576.23,4556.51,4564.67,47783
2026.05.25 08:00,4564.65,4565.84,4550.33,4555.85,46523
2026.05.25 12:00,4555.91,4576.8,4552.68,4567.49,38210
2026.05.25 16:00,4567.5,4574.5,4559.87,4573.43,40763
2026.05.25 20:00,4573.3,4577.65,4563.14,4567.58,6099
2026.05.26 00:00,4569.68,4580.05,4539.44,4549.36,32394
2026.05.26 04:00,4549.4,4549.8,4523.26,4525.32,44982
2026.05.26 08:00,4525.3,4538.81,4519.94,4523.55,52707
2026.05.26 12:00,4523.68,4540.35,4500.38,4520.23,61435
2026.05.26 16:00,4520.21,4531.2,4499.72,4504.73,75418
2026.05.26 20:00,4504.76,4510.51,4482.42,4507.29,42382
2026.05.27 00:00,4510.12,4538.88,4495.94,4514.98,34270
2026.05.27 04:00,4514.97,4520.99,4495.63,4510.03,46285
2026.05.27 08:00,4510.01,4513.75,4475.61,4497.72,56094
2026.05.27 12:00,4497.63,4497.63,4424.8,4438.68,63293
2026.05.27 16:00,4438.66,4455.36,4401.14,4450.64,83393
2026.05.27 20:00,4450.68,4458.64,4441.31,4456.13,34234
2026.05.28 00:00,4456.65,4465.58,4443.72,4456.89,32652
2026.05.28 04:00,4456.9,4458.56,4366.27,4372.82,79052
2026.05.28 08:00,4372.84,4395.93,4367.07,4386.76,55217
2026.05.28 12:00,4386.63,4433.52,4375.13,4431.95,53265
2026.05.28 16:00,4432.45,4510.86,4417.95,4510.84,89374
2026.05.28 20:00,4510.93,4516.36,4494.72,4495.55,43110
2026.05.29 00:00,4495.81,4500.37,4488.9,4495.94,24541
