server,login,trade_mode,symbol,probe_month_start,probe_to_plus7d,ticks_found,first_tick_in_probe,last_tick_in_probe,err
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.08.28,2025.09.04,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.09.27,2025.10.04,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.10.27,2025.11.03,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.11.26,2025.12.03,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2025.12.26,2026.01.02,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2026.01.25,2026.02.01,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2026.02.24,2026.03.03,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2026.03.26,2026.04.02,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2026.04.25,2026.05.02,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2026.05.25,2026.06.01,0,-,-,0
XMGlobal-MT5 10,345277936,DEMO,XAUUSD_DSC,2026.06.24,2026.07.01,0,-,-,0
